Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
MONTEREY PENINSULA COLLEGE4490,MONTEREY PENINSULA COLLEGE,Monterey,Monterey,App,52,6,2,13,11,20,,
MONTEREY PENINSULA COLLEGE4490,MONTEREY PENINSULA COLLEGE,Monterey,Monterey,Adm,36,5,,7,9,13,,
MONTEREY PENINSULA COLLEGE4490,MONTEREY PENINSULA COLLEGE,Monterey,Monterey,Enr,9,,,,3,5,,
MOORPARK COLLEGE4512,MOORPARK COLLEGE,Moorpark,Ventura,App,339,8,5,74,72,159,,11
MOORPARK COLLEGE4512,MOORPARK COLLEGE,Moorpark,Ventura,Adm,210,4,,41,50,100,,8
MOORPARK COLLEGE4512,MOORPARK COLLEGE,Moorpark,Ventura,Enr,38,,,5,15,14,,3
MORENO VALLEY COLLEGE6512,MORENO VALLEY COLLEGE,Moreno Valley,Riverside,App,68,8,1,46,8,2,3,
MORENO VALLEY COLLEGE6512,MORENO VALLEY COLLEGE,Moreno Valley,Riverside,Adm,25,4,,16,3,,,
MORENO VALLEY COLLEGE6512,MORENO VALLEY COLLEGE,Moreno Valley,Riverside,Enr,8,,,4,,,,
MOUNT SAN JACINTO COLLEGE4501,MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,App,217,23,5,93,32,53,,1
MOUNT SAN JACINTO COLLEGE4501,MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,Adm,94,10,,40,16,21,,
MOUNT SAN JACINTO COLLEGE4501,MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,Enr,36,4,,13,10,6,,
MT. SAN ANTONIO COLLEGE4494,MT. SAN ANTONIO COLLEGE,Walnut,Los Angeles,App,506,18,,120,261,41,14,52
MT. SAN ANTONIO COLLEGE4494,MT. SAN ANTONIO COLLEGE,Walnut,Los Angeles,Adm,286,4,,53,157,25,10,37
MT. SAN ANTONIO COLLEGE4494,MT. SAN ANTONIO COLLEGE,Walnut,Los Angeles,Enr,62,,,9,35,4,,8
NAPA VALLEY COLLEGE4530,NAPA VALLEY COLLEGE,Napa,Napa,App,56,3,,15,14,22,1,1
NAPA VALLEY COLLEGE4530,NAPA VALLEY COLLEGE,Napa,Napa,Adm,39,,,13,11,12,,
NAPA VALLEY COLLEGE4530,NAPA VALLEY COLLEGE,Napa,Napa,Enr,9,,,,3,4,,
NORCO COLLEGE6503,NORCO COLLEGE,Norco,Riverside,App,114,9,,41,33,22,,2
NORCO COLLEGE6503,NORCO COLLEGE,Norco,Riverside,Adm,46,4,,12,18,9,,
NORCO COLLEGE6503,NORCO COLLEGE,Norco,Riverside,Enr,12,,,4,4,,,
OHLONE COLLEGE4579,OHLONE COLLEGE,Fremont,Alameda,App,212,5,1,20,133,18,,34
